epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.34931,1.81804,4.75967,1.41909,0,0,0,0,1.55495,4.32441,1.25114,9.09e-06,9.09e-06,9.09e-06
2,4.27943,1.74779,4.77441,1.327,0,0,0,0,1.55402,4.32074,1.24964,2.7e-05,2.7e-05,2.7e-05
3,5.17579,1.74463,4.75563,1.37636,0,0,0,0,1.51563,4.26884,1.20781,4.45501e-05,4.45501e-05,4.45501e-05
4,6.08168,1.70326,4.70917,1.31832,0,0,0,0,1.48131,4.2405,1.16706,6.17402e-05,6.17402e-05,6.17402e-05
5,6.99317,1.68374,4.5514,1.18701,0,0,0,0,1.44752,4.19024,1.11892,7.85703e-05,7.85703e-05,7.85703e-05
6,7.90668,1.57212,4.25514,1.11125,0,0,0,0,1.46195,4.14515,1.10286,9.50405e-05,9.50405e-05,9.50405e-05
7,8.81513,1.66965,4.1306,1.15907,0,0,0,0,1.44792,4.1002,1.07637,0.000111151,0.000111151,0.000111151
8,9.72261,1.72119,3.85535,1.2038,0.00011,0.00476,6e-05,1e-05,1.43527,4.06391,1.05341,0.000126901,0.000126901,0.000126901
9,10.6145,1.54232,3.43955,1.09265,0.00012,0.00476,6e-05,1e-05,1.41049,4.03327,1.03604,0.000142291,0.000142291,0.000142291
10,11.5059,1.60852,3.35881,1.13321,0.00068,0.02381,0.00118,0.00078,1.37391,3.99929,1.01522,0.000157322,0.000157322,0.000157322
11,12.4012,1.63206,3.12224,1.06974,0.00182,0.05238,0.01441,0.00564,1.37163,3.96192,1.0055,0.000171992,0.000171992,0.000171992
12,13.3125,1.55807,2.93543,1.05912,0.0036,0.08571,0.05029,0.02177,1.36576,3.91312,0.99907,0.000186302,0.000186302,0.000186302
13,14.2201,1.60185,2.70763,1.07633,0.00689,0.1381,0.08203,0.04468,1.35184,3.84995,0.99094,0.000200253,0.000200253,0.000200253
14,15.1221,1.60447,2.45977,1.09085,0.01349,0.2619,0.16588,0.11556,1.35462,3.77521,0.98174,0.000213843,0.000213843,0.000213843
15,16.0261,1.6132,2.43482,1.08525,0.01307,0.30476,0.21674,0.16332,1.35954,3.68902,0.97871,0.000227074,0.000227074,0.000227074
16,16.9601,1.60462,2.33643,1.08887,0.01602,0.39524,0.25659,0.1864,1.38447,3.59452,0.98144,0.000239944,0.000239944,0.000239944
17,17.876,1.50165,2.04897,1.03437,0.02131,0.54286,0.36092,0.23062,1.39781,3.50159,0.98619,0.000252455,0.000252455,0.000252455
18,18.7865,1.56185,2.0818,1.08965,0.0217,0.62857,0.41967,0.26122,1.36961,3.38919,0.98538,0.000264605,0.000264605,0.000264605
19,19.702,1.42533,1.87707,1.08725,0.02228,0.65238,0.43097,0.27628,1.36107,3.30748,0.9875,0.000276396,0.000276396,0.000276396
20,20.6167,1.48798,1.83695,1.04534,0.02328,0.6619,0.48074,0.30991,1.33867,3.24147,0.98701,0.000287827,0.000287827,0.000287827
21,21.5298,1.49768,1.73412,1.12174,0.02419,0.68571,0.54935,0.34773,1.33996,3.20174,0.98992,0.000298897,0.000298897,0.000298897
22,22.4418,1.35176,1.58274,1.00807,0.0226,0.69048,0.57722,0.35379,1.33308,3.18982,0.99034,0.000309608,0.000309608,0.000309608
23,23.3541,1.35951,1.56147,1.00661,0.02098,0.71429,0.60713,0.3711,1.33646,3.17721,0.99099,0.000319959,0.000319959,0.000319959
24,24.2663,1.42815,1.57203,1.02395,0.02082,0.74286,0.63426,0.388,1.33265,3.14934,0.99368,0.00032995,0.00032995,0.00032995
25,25.1745,1.35544,1.46137,1.01578,0.0229,0.78095,0.65267,0.40181,1.30083,3.1192,0.99332,0.000339581,0.000339581,0.000339581
26,26.0982,1.33078,1.4004,1.01119,0.02626,0.81429,0.66821,0.4314,1.27574,3.07981,0.99155,0.000348851,0.000348851,0.000348851
27,27.0249,1.41175,1.36162,1.03131,0.02978,0.83333,0.69991,0.46196,1.28587,2.99781,0.99902,0.000357762,0.000357762,0.000357762
28,27.9259,1.34092,1.277,1.01538,0.02978,0.83333,0.69991,0.46196,1.28587,2.99781,0.99902,0.000366313,0.000366313,0.000366313
29,28.8376,1.3604,1.30432,1.01622,0.03374,0.8619,0.73415,0.47574,1.29167,2.92935,1.00375,0.000374504,0.000374504,0.000374504
30,29.7508,1.32643,1.23015,1.02079,0.03597,0.87143,0.75176,0.48362,1.2829,2.85365,1.00359,0.000382335,0.000382335,0.000382335
31,30.6548,1.35617,1.23134,1.02874,0.03597,0.87143,0.75176,0.48362,1.2829,2.85365,1.00359,0.000389806,0.000389806,0.000389806
32,31.5641,1.35764,1.17904,1.02134,0.03536,0.88095,0.77317,0.48868,1.27415,2.80834,1.0004,0.000396918,0.000396918,0.000396918
33,32.4783,1.36107,1.2126,1.04362,0.03517,0.89524,0.79042,0.50924,1.25148,2.78681,0.99457,0.000403669,0.000403669,0.000403669
34,33.386,1.31787,1.12672,0.99976,0.03517,0.89524,0.79042,0.50924,1.25148,2.78681,0.99457,0.00041006,0.00041006,0.00041006
35,34.3084,1.36189,1.19383,1.02296,0.03341,0.89048,0.80024,0.51887,1.23499,2.76067,0.9912,0.000416091,0.000416091,0.000416091
36,35.2308,1.34657,1.13769,1.03357,0.0329,0.88095,0.79238,0.51659,1.24142,2.732,0.99651,0.000421762,0.000421762,0.000421762
37,36.1169,1.35797,1.15126,1.01463,0.0329,0.88095,0.79238,0.51659,1.24142,2.732,0.99651,0.000427074,0.000427074,0.000427074
38,37.0029,1.35677,1.17599,1.06503,0.03284,0.90952,0.83908,0.52807,1.25942,2.70243,1.00132,0.000432025,0.000432025,0.000432025
39,37.9192,1.27564,1.0679,0.99279,0.03149,0.91429,0.85272,0.53348,1.27677,2.62737,1.00612,0.000436616,0.000436616,0.000436616
40,38.8242,1.30427,1.11156,1.03744,0.03149,0.91429,0.85272,0.53348,1.27677,2.62737,1.00612,0.000440848,0.000440848,0.000440848
41,39.7381,1.32359,1.18895,1.02923,0.03112,0.90952,0.85465,0.5409,1.27987,2.52112,1.00315,0.000444719,0.000444719,0.000444719
42,40.6585,1.31713,1.04123,0.99224,0.03208,0.91429,0.85973,0.53152,1.31732,2.46551,1.01277,0.000448231,0.000448231,0.000448231
43,41.5451,1.2633,1.01945,0.97565,0.03208,0.91429,0.85973,0.53152,1.31732,2.46551,1.01277,0.000451382,0.000451382,0.000451382
44,42.4498,1.29124,1.02253,0.99839,0.92847,0.79549,0.86803,0.5477,1.26164,2.30048,0.99865,0.000454174,0.000454174,0.000454174
45,43.3603,1.31892,1.04267,0.96384,0.92847,0.79549,0.86803,0.5477,1.26164,2.30048,0.99865,0.000456605,0.000456605,0.000456605
46,44.2854,1.2395,1.00322,0.96924,0.95665,0.64703,0.87961,0.57198,1.20992,2.12911,0.98327,0.000458677,0.000458677,0.000458677
47,45.1878,1.20555,0.97754,1.00381,0.95665,0.64703,0.87961,0.57198,1.20992,2.12911,0.98327,0.000460389,0.000460389,0.000460389
48,46.1064,1.34334,1.11928,1.03792,0.932,0.38066,0.89232,0.57836,1.20952,2.02973,0.98084,0.00046174,0.00046174,0.00046174
49,47.0313,1.26001,1.00899,0.98189,0.932,0.38066,0.89232,0.57836,1.20952,2.02973,0.98084,0.000462732,0.000462732,0.000462732
50,47.998,1.27239,0.98576,0.95783,0.92944,0.55058,0.89553,0.57748,1.22616,1.8975,0.98838,0.000463364,0.000463364,0.000463364
51,48.8853,1.2569,0.96536,1.00622,0.92944,0.55058,0.89553,0.57748,1.22616,1.8975,0.98838,0.000459045,0.000459045,0.000459045
52,49.818,1.26565,0.97097,0.98057,0.95349,0.70642,0.89479,0.57456,1.23906,1.69694,0.99489,0.000450046,0.000450046,0.000450046
53,50.7622,1.29253,0.93378,0.98997,0.95349,0.70642,0.89479,0.57456,1.23906,1.69694,0.99489,0.000441047,0.000441047,0.000441047
54,51.6705,1.25513,0.97824,1.0208,0.937,0.81654,0.89493,0.57619,1.2346,1.51705,0.99424,0.000432048,0.000432048,0.000432048
55,52.564,1.22179,0.94554,0.96664,0.937,0.81654,0.89493,0.57619,1.2346,1.51705,0.99424,0.000423049,0.000423049,0.000423049
56,53.4724,1.24674,0.90402,0.95289,0.9417,0.848,0.89947,0.58531,1.22521,1.41248,0.98979,0.000414049,0.000414049,0.000414049
57,54.3812,1.23994,0.92474,0.97041,0.9417,0.848,0.89947,0.58531,1.22521,1.41248,0.98979,0.00040505,0.00040505,0.00040505
58,55.3083,1.22424,0.89378,0.96354,0.93165,0.84284,0.89955,0.59259,1.21026,1.34932,0.98411,0.000396051,0.000396051,0.000396051
59,56.2191,1.24327,0.96422,0.98374,0.93165,0.84284,0.89955,0.59259,1.21026,1.34932,0.98411,0.000387052,0.000387052,0.000387052
60,57.1499,1.24083,0.89959,0.96741,0.956,0.84545,0.90248,0.60096,1.17935,1.31211,0.9712,0.000378053,0.000378053,0.000378053
61,58.0588,1.23369,0.89602,0.98602,0.956,0.84545,0.90248,0.60096,1.17935,1.31211,0.9712,0.000369054,0.000369054,0.000369054
62,58.9785,1.22951,0.93991,0.98324,0.94543,0.86285,0.916,0.60629,1.18728,1.2801,0.96774,0.000360055,0.000360055,0.000360055
63,59.8922,1.2444,0.91299,0.95278,0.94543,0.86285,0.916,0.60629,1.18728,1.2801,0.96774,0.000351056,0.000351056,0.000351056
64,60.8166,1.25751,0.9183,0.97767,0.93802,0.88404,0.92411,0.60509,1.18745,1.20561,0.96342,0.000342057,0.000342057,0.000342057
65,61.7133,1.21805,0.93518,0.98097,0.93802,0.88404,0.92411,0.60509,1.18745,1.20561,0.96342,0.000333058,0.000333058,0.000333058
66,62.6212,1.28007,0.96557,0.97301,0.93635,0.89833,0.92826,0.60551,1.17827,1.11447,0.96162,0.000324058,0.000324058,0.000324058
67,63.5214,1.25751,0.90906,0.97867,0.93635,0.89833,0.92826,0.60551,1.17827,1.11447,0.96162,0.000315059,0.000315059,0.000315059
68,64.4345,1.26944,0.9083,0.97119,0.94139,0.89416,0.92509,0.60194,1.17724,1.02342,0.96199,0.00030606,0.00030606,0.00030606
69,65.337,1.24442,0.897,0.97536,0.94139,0.89416,0.92509,0.60194,1.17724,1.02342,0.96199,0.000297061,0.000297061,0.000297061
70,66.2533,1.20691,0.88272,0.95658,0.93739,0.88794,0.92312,0.60956,1.16457,0.92659,0.95976,0.000288062,0.000288062,0.000288062
71,67.1718,1.21951,0.89522,0.97125,0.93739,0.88794,0.92312,0.60956,1.16457,0.92659,0.95976,0.000279063,0.000279063,0.000279063
72,68.1069,1.14522,0.86184,0.9514,0.93394,0.89395,0.92688,0.61354,1.14292,0.85513,0.95656,0.000270064,0.000270064,0.000270064
73,69.0334,1.25822,0.93107,1.0271,0.93394,0.89395,0.92688,0.61354,1.14292,0.85513,0.95656,0.000261065,0.000261065,0.000261065
74,69.9676,1.15007,0.86932,0.93728,0.93553,0.89411,0.92613,0.61653,1.13084,0.83034,0.95399,0.000252066,0.000252066,0.000252066
75,70.8853,1.16835,0.83902,0.95639,0.93553,0.89411,0.92613,0.61653,1.13084,0.83034,0.95399,0.000243067,0.000243067,0.000243067
76,71.8164,1.21666,0.89587,0.99107,0.93298,0.88994,0.92446,0.61861,1.11823,0.82982,0.95053,0.000234068,0.000234068,0.000234068
77,72.7365,1.21287,0.8726,0.96137,0.93298,0.88994,0.92446,0.61861,1.11823,0.82982,0.95053,0.000225068,0.000225068,0.000225068
78,73.6748,1.1578,0.82963,0.94456,0.93033,0.89021,0.92349,0.61759,1.11237,0.82285,0.94561,0.000216069,0.000216069,0.000216069
79,74.584,1.1564,0.85511,0.96483,0.93033,0.89021,0.92349,0.61759,1.11237,0.82285,0.94561,0.00020707,0.00020707,0.00020707
80,75.5036,1.2639,0.93475,1.0102,0.93942,0.89866,0.93063,0.6171,1.11424,0.80828,0.94309,0.000198071,0.000198071,0.000198071
81,76.408,1.11217,0.80702,0.92932,0.93942,0.89866,0.93063,0.6171,1.11424,0.80828,0.94309,0.000189072,0.000189072,0.000189072
82,77.3291,1.13356,0.86402,0.95191,0.94428,0.9,0.93213,0.62856,1.11562,0.77731,0.94153,0.000180073,0.000180073,0.000180073
83,78.2521,1.13978,0.84994,0.96162,0.94428,0.9,0.93213,0.62856,1.11562,0.77731,0.94153,0.000171074,0.000171074,0.000171074
84,79.1923,1.19896,0.86285,0.97244,0.95937,0.90992,0.94054,0.63027,1.11036,0.74207,0.94035,0.000162075,0.000162075,0.000162075
85,80.1171,1.14231,0.83306,0.94809,0.95937,0.90992,0.94054,0.63027,1.11036,0.74207,0.94035,0.000153076,0.000153076,0.000153076
86,81.0559,1.17298,0.83704,0.94916,0.96479,0.91635,0.93752,0.63183,1.1056,0.71516,0.94036,0.000144077,0.000144077,0.000144077
87,81.9849,1.2174,0.83155,0.94665,0.96479,0.91635,0.93752,0.63183,1.1056,0.71516,0.94036,0.000135077,0.000135077,0.000135077
88,82.9282,1.1323,0.83452,0.92756,0.9568,0.91429,0.93876,0.63541,1.09337,0.68773,0.93797,0.000126078,0.000126078,0.000126078
89,83.8547,1.15443,0.83677,0.95023,0.9568,0.91429,0.93876,0.63541,1.09337,0.68773,0.93797,0.000117079,0.000117079,0.000117079
90,84.7996,1.19827,0.87088,0.98298,0.95508,0.91429,0.94286,0.63824,1.08518,0.66916,0.93712,0.00010808,0.00010808,0.00010808
91,86.7633,1.1391,0.84358,0.95956,0.95508,0.91429,0.94286,0.63824,1.08518,0.66916,0.93712,9.9081e-05,9.9081e-05,9.9081e-05
92,87.7283,1.12248,0.84637,0.96339,0.95164,0.91429,0.94399,0.63546,1.085,0.66008,0.93721,9.00819e-05,9.00819e-05,9.00819e-05
93,88.6357,1.09755,0.81465,0.95895,0.95164,0.91429,0.94399,0.63546,1.085,0.66008,0.93721,8.10828e-05,8.10828e-05,8.10828e-05
94,89.5583,1.12134,0.81658,1.00067,0.95511,0.91429,0.93787,0.63064,1.09351,0.65554,0.94034,7.20837e-05,7.20837e-05,7.20837e-05
95,90.4639,1.12985,0.81692,0.9995,0.95511,0.91429,0.93787,0.63064,1.09351,0.65554,0.94034,6.30846e-05,6.30846e-05,6.30846e-05
96,91.386,1.12318,0.80752,0.96277,0.95396,0.91663,0.9419,0.63197,1.09828,0.65109,0.94217,5.40855e-05,5.40855e-05,5.40855e-05
97,92.2952,1.13769,0.84615,0.97227,0.95396,0.91663,0.9419,0.63197,1.09828,0.65109,0.94217,4.50864e-05,4.50864e-05,4.50864e-05
98,93.219,1.13788,0.82078,0.96675,0.95619,0.91553,0.94182,0.6274,1.0977,0.64448,0.94253,3.60873e-05,3.60873e-05,3.60873e-05
99,94.1333,1.13101,0.80014,0.97926,0.95619,0.91553,0.94182,0.6274,1.0977,0.64448,0.94253,2.70882e-05,2.70882e-05,2.70882e-05
100,95.0558,1.18496,0.84804,1.01252,0.94821,0.92708,0.94212,0.6294,1.09545,0.63473,0.94204,1.80891e-05,1.80891e-05,1.80891e-05
